CGLM ;   nostress ; 1 ; 951049452.149966
CGLM ;   nostress ; 2 ; 925808873.987460
CGLM ;   nostress ; 3 ; 852492200.263734
CGLM ;   nostress ; 4 ; 884758049.546772
CGLM ;   nostress ; 5 ; 847573576.634882
CGLM ;   nostress ; 6 ; 865659212.082674
CGLM ;   nostress ; 7 ; 838744065.828388
CGLM ;   nostress ; 8 ; 823243664.950990
CGLM ;   nostress ; 9 ; 850644563.109942
CGLM ;   nostress ; 10 ; 803324858.716824
CGLM ;   nostress ; 11 ; 780605253.225431
CGLM ;   nostress ; 12 ; 782326779.161226
CGLM ;   nostress ; 13 ; 765887720.277751
CGLM ;   nostress ; 14 ; 742407478.978247
CGLM ;   nostress ; 15 ; 742845186.394692
CGLM ;   nostress ; 16 ; 717702207.158909
CGLM ;   nostress ; 17 ; 737387745.173453
CGLM ;   nostress ; 18 ; 706107344.625907
CGLM ;   nostress ; 19 ; 701302137.168515
CGLM ;   nostress ; 20 ; 700565676.796773
CGLM ;   nostress ; 21 ; 692368517.359111
CGLM ;   nostress ; 22 ; 677367802.289715
CGLM ;   nostress ; 23 ; 681997577.566811
CGLM ;   nostress ; 24 ; 656888159.214092
CGLM ;   nostress ; 25 ; 652834185.575760
CGLM ;   nostress ; 26 ; 626635503.428051
CGLM ;   nostress ; 27 ; 617735752.147151
CGLM ;   nostress ; 28 ; 607737554.968305
CGLM ;   nostress ; 29 ; 599918879.174133
CGLM ;   nostress ; 30 ; 585254909.756399
CGLM ;   nostress ; 31 ; 579381181.036634
CGLM ;   nostress ; 32 ; 568033191.471792
CGLM ;   nostress ; 33 ; 564442609.473430
CGLM ;   nostress ; 34 ; 557781705.471072
CGLM ;   nostress ; 35 ; 551822082.257411
CGLM ;   nostress ; 36 ; 550302574.100290
CGLM ;   nostress ; 37 ; 533614374.983380
CGLM ;   nostress ; 38 ; 528509056.562974
CGLM ;   nostress ; 39 ; 521917590.550695
CGLM ;   nostress ; 40 ; 513315640.707491
CGLM ;   nostress ; 41 ; 502766376.779397
CGLM ;   nostress ; 42 ; 490199032.989473
CGLM ;   nostress ; 43 ; 476633497.441038
CGLM ;   nostress ; 44 ; 460922597.152120
CGLM ;   nostress ; 45 ; 443983761.826627
CGLM ;   nostress ; 46 ; 426064537.612922
CGLM ;   nostress ; 47 ; 407821058.989399
CGLM ;   nostress ; 48 ; 389698476.434918
CGLM ;   nostress ; 49 ; 371744457.935078
CGLM ;   nostress ; 50 ; 353977749.659901
CGLM ;   nostress ; 51 ; 336424925.992729
CGLM ;   nostress ; 52 ; 319122156.745821
CGLM ;   nostress ; 53 ; 302105224.293328
CGLM ;   nostress ; 54 ; 285410423.496716
CGLM ;   nostress ; 55 ; 269063747.960369
CGLM ;   nostress ; 56 ; 253102350.191027
CGLM ;   nostress ; 57 ; 237553993.326746
CGLM ;   nostress ; 58 ; 222450178.353761
CGLM ;   nostress ; 59 ; 207818154.706808
CGLM ;   nostress ; 60 ; 193667667.487867
CGLM ;   nostress ; 61 ; 180041140.995026
CGLM ;   nostress ; 62 ; 166948184.868930
CGLM ;   nostress ; 63 ; 154376956.716094
CGLM ;   nostress ; 64 ; 142353562.754048
CGLM ;   nostress ; 65 ; 130900805.803620
CGLM ;   nostress ; 66 ; 120018662.785840
CGLM ;   nostress ; 67 ; 109735010.708674
CGLM ;   nostress ; 68 ; 99998265.268233
CGLM ;   nostress ; 69 ; 90792787.755401
CGLM ;   nostress ; 70 ; 82145221.218492
CGLM ;   nostress ; 71 ; 74068222.217935
CGLM ;   nostress ; 72 ; 66477805.465323
CGLM ;   nostress ; 73 ; 59377207.095070
CGLM ;   nostress ; 74 ; 52787085.841728
CGLM ;   nostress ; 75 ; 46659047.067101
CGLM ;   nostress ; 76 ; 40992240.077266
CGLM ;   nostress ; 77 ; 35746335.680231
CGLM ;   nostress ; 78 ; 30918104.924096
CGLM ;   nostress ; 79 ; 26527697.365048
CGLM ;   nostress ; 80 ; 22465639.926429
CGLM ;   nostress ; 81 ; 18741075.530772
CGLM ;   nostress ; 82 ; 15369877.060229
CGLM ;   nostress ; 83 ; 12332507.852042
CGLM ;   nostress ; 84 ; 9605945.170609
CGLM ;   nostress ; 85 ; 7247274.521072
CGLM ;   nostress ; 86 ; 5262692.577215
CGLM ;   nostress ; 87 ; 3614466.211445
CGLM ;   nostress ; 88 ; 2318482.187344
CGLM ;   nostress ; 89 ; 1399888.278972
CGLM ;   nostress ; 90 ; 760982.181238
CGLM ;   nostress ; 91 ; 324005.401716
CGLM ;   nostress ; 92 ; 92613.724946
CGLM ;   nostress ; 93 ; 25359.156150
CGLM ;   nostress ; 94 ; 16437.031750
CGLM ;   nostress ; 95 ; 14915.266049
CGLM ;   nostress ; 96 ; 14441.093421
CGLM ;   nostress ; 97 ; 14043.192818
CGLM ;   nostress ; 98 ; 13638.761480
CGLM ;   nostress ; 99 ; 13220.668667
CGLM ;   nostress ; 100 ; 12789.283846
CGLM ;   nostress ; 101 ; 12345.096150
CGLM ;   nostress ; 102 ; 11888.723811
CGLM ;   nostress ; 103 ; 11420.923240
CGLM ;   nostress ; 104 ; 10942.597185
CGLM ;   nostress ; 105 ; 10454.801618
CGLM ;   nostress ; 106 ; 9958.751186
CGLM ;   nostress ; 107 ; 9455.822723
CGLM ;   nostress ; 108 ; 8947.556191
CGLM ;   nostress ; 109 ; 8435.652929
CGLM ;   nostress ; 110 ; 7921.970491
CGLM ;   nostress ; 111 ; 5222.661972
CGLM ;   nostress ; 112 ; 781.015299
CGLM ;   nostress ; 113 ;  60.531160
