  & DAV2008T Male NonSmoker &  DAV2008T Male Smoker   & DAV2008T Female NonSmoker &  DAV2008T Female Smoker &  DAV2008P Male &  DAV2008P Female   
61 & 0.003957 & 0.006571 & 0.017697 & 0.011032 & 0.002240 & 0.0021640 
62 & 0.004426 & 0.007440 & 0.020021 & 0.012460 & 0.002637 & 0.002446 
63 & 0.004988 & 0.008492 & 0.022809 & 0.014146 & 0.003106 & 0.002775 
64 & 0.005647 & 0.009777 & 0.026154 & 0.016104 & 0.003657 & 0.003159 
65 & 0.006429 & 0.011358 & 0.030212 & 0.018386 & 0.004295 & 0.003611 
66 & 0.007331 & 0.013227 & 0.034906 & 0.020975 & 0.005029 & 0.004150 
67 & 0.008371 & 0.015395 & 0.040197 & 0.023890 & 0.005866 & 0.004802 
68 & 0.009545 & 0.017891 & 0.046105 & 0.027090 & 0.006822 & 0.005602 
69 & 0.010885 & 0.020653 & 0.052397 & 0.030621 & 0.007920 & 0.006601 
70 & 0.012413 & 0.023679 & 0.058986 & 0.034509 & 0.009195 & 0.007862 
71 & 0.014154 & 0.026983 & 0.065811 & 0.038755 & 0.010699 & 0.009463 
72 & 0.016105 & 0.030367 & 0.072335 & 0.043291 & 0.012501 & 0.011492 
73 & 0.018711 & 0.033738 & 0.078306 & 0.049210 & 0.014687 & 0.014045 
74 & 0.021204 & 0.037409 & 0.084395 & 0.054366 & 0.017359 & 0.017221 
75 & 0.024078 & 0.041402 & 0.090588 & 0.060003 & 0.020622 & 0.021121 
76 & 0.027406 & 0.045866 & 0.097098 & 0.066157 & 0.024580 & 0.025844 
77 & 0.031289 & 0.050877 & 0.104044 & 0.072965 & 0.029323 & 0.031495 
78 & 0.035750 & 0.056589 & 0.111650 & 0.080259 & 0.034926 & 0.038187 
79 & 0.040993 & 0.063039 & 0.119774 & 0.088339 & 0.041448 & 0.046053 
80 & 0.046993 & 0.070338 & 0.128577 & 0.096948 & 0.048942 & 0.055252 
81 & 0.053819 & 0.078516 & 0.138032 & 0.106077 & 0.057478 & 0.065971 
82 & 0.061505 & 0.087533 & 0.147930 & 0.115568 & 0.067174 & 0.078420 
83 & 0.070057 & 0.097419 & 0.158306 & 0.125262 & 0.078230 & 0.092822 
84 & 0.079747 & 0.108215 & 0.169141 & 0.135491 & 0.090946 & 0.109382 
85 & 0.090633 & 0.119895 & 0.180441 & 0.146282 & 0.105705 & 0.128263 
86 & 0.102906 & 0.132530 & 0.192169 & 0.157652 & 0.122883 & 0.149552 
87 & 0.116564 & 0.146092 & 0.204529 & 0.169601 & 0.142677 & 0.173229 
88 & 0.131464 & 0.160372 & 0.216983 & 0.181814 & 0.164845 & 0.199182 
89 & 0.147608 & 0.175288 & 0.229803 & 0.194252 & 0.188452 & 0.227241 
